textId,text
app.name,Travia
app.title,Travia

# Trip Configuration Screen
config.screen.title,Planificación de Viaje
config.screen.subtitle,Configuración de Lista de Viaje
config.days.label,Días
config.days.placeholder,Número de días de viaje
config.home.label,¿Viaje a casa o segunda residencia?
config.home.helper,Los artículos ya disponibles en casa se excluirán
config.ai.label,Usar personalización con IA
config.ai.helper,Obtener sugerencias inteligentes basadas en la temporada y el destino
config.luggage.label,Equipaje grande
config.luggage.helper,Activa si llevas maleta grande (desactivado = solo mochila)
config.season.label,Estación
config.season.spring,Primavera
config.season.summer,Verano
config.season.fall,Otoño
config.season.winter,Invierno
config.button.generate,Generar Lista
config.error.invalidDays,Por favor

# Packing List Screen
list.screen.title,Lista Recomendada de Viaje
list.button.back,← Volver
list.summary.duration,Duración:
list.summary.season,Estación:
list.summary.destination,Destino:
list.summary.totalItems,Total de Artículos:
list.destination.home,Casa
list.destination.general,General
list.ai.badge,✨ IA
list.ai.tip,💡 Consejo de IA:
list.button.export,📋 Exportar a Recordatorios
list.days.suffix,días

# Export to Reminders
reminders.permission.title,Se Requiere Permiso
reminders.permission.message,Se necesita acceso a la aplicación de Recordatorios para exportar la lista. Concede permiso.
reminders.permission.cancel,Cancelar
reminders.permission.grant,Conceder Permiso
reminders.permission.denied,Permiso Denegado
reminders.permission.deniedMessage,No se puede exportar sin acceso a Recordatorios.
reminders.success.title,¡Hecho!
reminders.success.message,Tu lista de viaje se ha exportado a la aplicación Recordatorios con {count} artículos.
reminders.error.title,Error
reminders.error.message,No se pudo exportar a Recordatorios. Por favor
reminders.listName,Listas de Viaje
reminders.listColor,#FF6B6B
reminders.tripTitle.home,Hacer la Maleta para Casa - {days} días
reminders.tripTitle.general,Hacer la Maleta para Viaje - {days} días
reminders.tripNotes.generated,Generado:
reminders.tripNotes.season,Estación:
reminders.tripNotes.aiEnhanced,Mejorado con IA:
reminders.tripNotes.yes,Sí
reminders.tripNotes.no,No
reminders.itemTitle.withQuantity,{name} ({quantity}x)
reminders.itemTitle.single,{name}
reminders.itemNotes.category,Categoría:
reminders.itemNotes.aiTip,Consejo de IA:

# AI Enhancement
ai.error.title,Mejora de IA Fallida
ai.error.message,La lista básica de artículos ha sido generada pero no se pudieron agregar sugerencias de IA. Por favor
ai.error.apiKey,Clave API de OpenRouter no configurada. Por favor
ai.summary.title,Consejos para tu Viaje
ai.suggestedItems.title,Artículos Sugeridos por la IA
ai.suggestedItems.subtitle,Revisa estos artículos sugeridos y decide si quieres agregarlos a tu lista
ai.suggestion.accept,✓ Agregar
ai.suggestion.decline,✕ Rechazar

# Item Categories
category.basics,Básicos
category.clothes,Ropa
category.toiletries,Higiene
category.electronics,Tech
category.documents,Documentos
category.accessories,Accesorios
category.health,Salud
category.misc,Varios
category.pending,Pendiente

# Loading States
loading.generating,Generando...
loading.enhancing,Agregando sugerencias de IA...
loading.exporting,Exportando a Recordatorios...

# General
general.ok,OK
general.cancel,Cancelar
general.error,Error
general.success,Éxito
general.loading,Cargando...

# Settings Screen
settings.title,Configuración
settings.ai.section.title,Configuración de Inteligencia Artificial
settings.ai.section.description,Configura tu clave API de OpenRouter para activar funciones inteligentes como sugerencias personalizadas y consejos de viaje.
settings.apiKey.label,Clave API de OpenRouter
settings.apiKey.placeholder,sk-or-v1-...
settings.apiKey.show,Mostrar Clave API
settings.apiKey.configured,Clave API configurada correctamente
settings.apiKey.empty,Por favor
settings.apiKey.invalid,Clave API no válida. Debe comenzar con 'sk-or-v1-'
settings.apiKey.saved,Clave API guardada correctamente.
settings.apiKey.saveError,No se pudo guardar la clave API. Inténtalo de nuevo.
settings.apiKey.save,💾 Guardar Clave API
settings.apiKey.delete,🗑️ Eliminar Clave API
settings.apiKey.deleted,Clave API eliminada correctamente.
settings.apiKey.delete.title,Confirmar Eliminación
settings.apiKey.delete.message,¿Estás seguro de que quieres eliminar la clave API? Las funciones de IA dejarán de estar disponibles.
settings.apiKey.delete.confirm,Eliminar
settings.apiKey.info.title,Cómo Obtener una Clave API
settings.apiKey.info.text,Necesitas una clave API de OpenRouter para usar las funciones de IA. Es gratis para empezar.
settings.apiKey.info.get,Visita OpenRouter para crear tu cuenta y obtener una clave API:
settings.security.title,Seguridad
settings.security.info,Tu clave API se almacena de forma segura en el dispositivo con cifrado. Nunca se comparte ni se envía a ningún lugar excepto a OpenRouter.

# Language Settings
settings.language.section.title,Idioma
settings.language.label,Idioma de la Aplicación
settings.language.ca,Català
settings.language.en,English
settings.language.es,Español
settings.language.changed,Idioma cambiado correctamente. La aplicación se recargará.

# Custom Items Management
settings.items.title,Artículos personalizados
settings.items.description,Gestiona los artículos de tu lista de viaje. Añade, edita o elimina artículos, y exporta/importa tu configuración.
settings.items.exportJson,📤 Exportar JSON
settings.items.exportCsv,📤 Exportar CSV
settings.items.restore,↺ Restaurar
settings.items.add,+ Añadir artículo nuevo
settings.items.restore.title,Restaurar valores predeterminados
settings.items.restore.message,Esto restaurará todos los artículos a su configuración predeterminada. ¿Estás seguro?
settings.items.restore.success,Artículos restaurados a valores predeterminados
settings.items.restore.error,Error al restaurar los valores predeterminados
settings.items.delete.title,Eliminar artículo
settings.items.delete.message,¿Estás seguro de que quieres eliminar "{name}"?
settings.items.delete.success,Artículo eliminado
settings.items.delete.error,Error al eliminar el artículo
settings.items.save.success.add,Artículo añadido
settings.items.save.success.edit,Artículo actualizado
settings.items.load.error,Error al cargar los artículos personalizados
settings.items.export.error,Error al exportar la configuración

# Item Editor Modal
itemEditor.title.add,Añadir artículo nuevo
itemEditor.title.edit,Editar artículo
itemEditor.cancel,Cancelar
itemEditor.save,Guardar
itemEditor.saving,Guardando...
itemEditor.id.label,ID
itemEditor.id.placeholder,id_articulo_unico
itemEditor.id.helper,Identificador único (minúsculas, usa guiones bajos)
itemEditor.name.label,Nombre
itemEditor.name.placeholder,Nombre del artículo
itemEditor.category.label,Categoría
itemEditor.category.select,Seleccionar categoría
itemEditor.quantityType.label,Tipo de cantidad
itemEditor.quantityType.fixed,Fija
itemEditor.quantityType.perDay,Por día
itemEditor.quantity.label,Cantidad
itemEditor.quantity.placeholder,1
itemEditor.dailyFactor.label,Factor diario
itemEditor.dailyFactor.placeholder,1.0
itemEditor.dailyFactor.helper,p. ej., 1.25 = 1.25 artículos por día de viaje
itemEditor.minDays.label,Días mínimos
itemEditor.minDays.placeholder,0
itemEditor.minDays.helper,Solo incluir si el viaje es al menos esta cantidad de días (0 = siempre incluir)
itemEditor.bigLuggage.label,Requiere equipaje grande
itemEditor.bigLuggage.helper,Solo incluir cuando el usuario tiene equipaje grande
itemEditor.seasons.label,Estaciones (opcional)
itemEditor.seasons.helper,Dejar vacío para incluir en todas las estaciones
itemEditor.includeFor.label,Incluir para
itemEditor.includeFor.general,Viajes generales
itemEditor.includeFor.home,Ir a casa
itemEditor.validation.nameRequired,El nombre del artículo es obligatorio
itemEditor.validation.idRequired,El ID del artículo es obligatorio
itemEditor.validation.quantityInvalid,La cantidad debe ser al menos 1
itemEditor.validation.dailyFactorInvalid,El factor diario debe ser mayor que 0
itemEditor.validation.minDaysInvalid,Los días mínimos deben ser 0 o más
itemEditor.validation.destinationRequired,El artículo debe incluirse para al menos un tipo de destino
itemEditor.validation.errorTitle,Error de validación
itemEditor.error.title,Error

# Item Names
item.underwear,Ropa interior
item.socks,Calcetines
item.tshirt,Camisetas
item.shorts,Pantalones cortos
item.pants,Pantalones/vaqueros
item.sweater,Sudadera
item.jacket,Chaqueta
item.swimsuit,Bañador
item.pajamas,Pijama
item.toothbrush,Cepillo de dientes
item.dni,DNI
item.wallet,Cartera
item.iphone_wallet,Cartera iPhone
item.keys,Llaves
item.car_keys,Llaves del coche
item.menorca_keys,Llaves de Menorca
item.phone,Teléfono
item.airpods,AirPods
item.apple_watch,Apple Watch
item.bose_headphones,Auriculares Bose
item.macbook,MacBook
item.ipad,iPad
item.apple_pencil,Apple Pencil
item.macbook_accessories,Accesorios MacBook
item.apple_watch_charger,Cargador Apple Watch
item.macbook_charger,Cargador MacBook
item.lightning_charger,Cargador Lightning
item.switch,Switch
item.usbc_cable,Cable USB-C
item.work_pc,PC de trabajo
item.work_pc_charger,Cargador PC de trabajo
item.hdmi_adapter,Adaptador HDMI
item.gillete_shaver,Maquinilla Gillette
item.contact_lenses,Lentes de contacto
item.perfume,Perfume
item.toothbrush_kit,Kit de cepillo de dientes
item.deodorant,Desodorante
item.styling_gel,Gel para el pelo
item.solar_cream,Crema solar
item.bath_gel,Gel de ducha
item.shirt,Camisa
item.tshirt,Camiseta
item.sport_clothes,Ropa deportiva
item.underwear,Ropa interior
item.socks,Calcetines
item.shoes,Zapatos
item.jacket,Chaqueta
item.trousers,Pantalones
item.shorts,Pantalones cortos
item.belt,Cinturón
item.hoodie_jumper,Sudadera
item.suit,Traje
item.swimming_suit,Bañador
item.slippers,Chanclas
item.gloves,Guantes
item.cap,Gorra
item.pajama,Pijama
item.sports_shoes,Zapatos deportivos
item.beanie,Gorro de lana
item.backpack,Mochila
item.solar_glasses,Gafas de sol
item.glasses,Gafas
item.ebook,Libro electrónico
item.board_games,Juegos de mesa
item.towel,Toalla
category.basics,Básicos
category.clothes,Ropa
category.toiletries,Higiene
